#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.116   -20.318  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.097   -20.329  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.077   -20.338  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.058   -20.345  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.039   -20.350  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.019   -20.353  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.000   -20.354  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
#Band-index    5
   0.000   -18.988  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.019   -19.017  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.039   -19.071  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.058   -19.132  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.077   -19.195  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.097   -19.258  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.116   -19.320  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.135   -19.381  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.155   -19.441  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.174   -19.499  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.193   -19.556  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.213   -19.610  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.232   -19.663  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.251   -19.713  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.271   -19.761  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.290   -19.807  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.309   -19.850  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.329   -19.889  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.348   -19.921  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -19.935  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.367   -19.935  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.379   -19.935  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.390   -19.934  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.401   -19.932  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.412   -19.929  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.423   -19.926  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.434   -19.923  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.446   -19.918  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.457   -19.913  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.468   -19.907  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.479   -19.901  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.490   -19.894  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.501   -19.886  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.513   -19.878  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
