#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.602   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.624   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.646   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.669   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.691   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.713   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.736   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.758   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.780   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.803   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.825   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.847   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.870   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.892   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.914   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.937   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.959   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.981   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   1.004   -26.638  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
#Band-index    4
   1.004   -20.353  0.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.981   -20.352  0.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.959   -20.348  0.646  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.937   -20.341  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.914   -20.331  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.642
   0.892   -20.319  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.642
   0.870   -20.305  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.847   -20.287  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.825   -20.267  0.640  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.803   -20.244  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
   0.780   -20.219  0.640  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.758   -20.191  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.736   -20.161  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.640
   0.713   -20.128  0.636  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.691   -20.094  0.628  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.646
   0.669   -20.057  0.628  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   0.646   -20.020  0.628  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.648
