#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.513      -18.6910      -18.6920
  0.524      -18.6441      -18.6450
  0.535      -18.5965      -18.5975
  0.546      -18.5483      -18.5493
  0.557      -18.4996      -18.5005
  0.568      -18.4504      -18.4513
  0.579      -18.4088      -18.4097
  0.579      -18.4088      -18.4097
  0.602      -18.4537      -18.4546
  0.624      -18.5001      -18.5010
  0.646      -18.5439      -18.5448
  0.669      -18.5851      -18.5861
  0.691      -18.6238      -18.6247
  0.713      -18.6597      -18.6607
  0.736      -18.6931      -18.6940
  0.758      -18.7237      -18.7247
  0.780      -18.7518      -18.7527
  0.803      -18.7772      -18.7781
  0.825      -18.8000      -18.8009
  0.847      -18.8201      -18.8210
  0.870      -18.8376      -18.8385
  0.892      -18.8526      -18.8535
  0.914      -18.8650      -18.8660
  0.937      -18.8754      -18.8763
  0.959      -18.8844      -18.8855
  0.981      -18.8961      -18.8973
  1.004      -18.9102      -18.9114
#Band-index    8
  1.004      -18.8343      -18.8348
  0.981      -18.8616      -18.8623
  0.959      -18.8665      -18.8674
  0.937      -18.8620      -18.8630
  0.914      -18.8535      -18.8544
  0.892      -18.8418      -18.8428
  0.870      -18.8273      -18.8283
  0.847      -18.8101      -18.8111
  0.825      -18.7901      -18.7911
  0.803      -18.7675      -18.7685
  0.780      -18.7422      -18.7432
  0.758      -18.7142      -18.7152
  0.736      -18.6836      -18.6846
  0.713      -18.6503      -18.6513
  0.691      -18.6144      -18.6154
  0.669      -18.5758      -18.5768
  0.646      -18.5345      -18.5355
  0.624      -18.4907      -18.4917
  0.602      -18.4442      -18.4452
  0.579      -18.3952      -18.3962
  0.579      -18.3952      -18.3962
  0.568      -18.3781      -18.3790
  0.557      -18.3522      -18.3531
  0.546      -18.3255      -18.3264
  0.535      -18.2980      -18.2989
  0.524      -18.2699      -18.2708
  0.513      -18.2411      -18.2420
  0.501      -18.2117      -18.2126
  0.490      -18.1816      -18.1826
  0.479      -18.1509      -18.1518
  0.468      -18.1196      -18.1205
  0.457      -18.0876      -18.0885
  0.446      -18.0549      -18.0559
  0.434      -18.0217      -18.0226
  0.423      -17.9878      -17.9887
  0.412      -17.9533      -17.9542
  0.401      -17.9182      -17.9191
  0.390      -17.8826      -17.8835
  0.379      -17.8468      -17.8477
  0.367      -17.8184      -17.8193
  0.367      -17.8184      -17.8193
  0.348      -17.8888      -17.8898
  0.329      -17.9610      -17.9621
  0.309      -18.0314      -18.0325
  0.290      -18.0999      -18.1010
  0.271      -18.1666      -18.1677
  0.251      -18.2314      -18.2325
  0.232      -18.2944      -18.2955
  0.213      -18.3555      -18.3566
  0.193      -18.4147      -18.4158
  0.174      -18.4721      -18.4732
  0.155      -18.5276      -18.5287
  0.135      -18.5814      -18.5825
  0.116      -18.6334      -18.6345
  0.097      -18.6837      -18.6848
  0.077      -18.7323      -18.7335
  0.058      -18.7793      -18.7804
  0.039      -18.8233      -18.8245
  0.019      -18.8530      -18.8539
  0.000      -18.8343      -18.8348
#Band-index    9
  0.000      -18.8342      -18.8347
  0.019      -18.8174      -18.8180
  0.039      -18.7830      -18.7837
  0.058      -18.7426      -18.7434
  0.077      -18.6990      -18.6998
  0.097      -18.6528      -18.6537
  0.116      -18.6044      -18.6053
  0.135      -18.5539      -18.5547
  0.155      -18.5013      -18.5021
  0.174      -18.4467      -18.4475
  0.193      -18.3901      -18.3909
  0.213      -18.3315      -18.3324
  0.232      -18.2710      -18.2718
  0.251      -18.2085      -18.2093
  0.271      -18.1441      -18.1449
  0.290      -18.0778      -18.0786
  0.309      -18.0096      -18.0104
  0.329      -17.9395      -17.9404
  0.348      -17.8676      -17.8685
  0.367      -17.8108      -17.8120
  0.367      -17.8108      -17.8120
  0.379      -17.8383      -17.8394
  0.390      -17.8739      -17.8750
  0.401      -17.9095      -17.9105
  0.412      -17.9445      -17.9455
  0.423      -17.9790      -17.9800
  0.434      -18.0128      -18.0138
  0.446      -18.0461      -18.0471
  0.457      -18.0787      -18.0797
  0.468      -18.1107      -18.1117
  0.479      -18.1420      -18.1430
  0.490      -18.1727      -18.1737
  0.501      -18.2028      -18.2038
  0.513      -18.2322      -18.2332
  0.524      -18.2610      -18.2620
  0.535      -18.2891      -18.2901
  0.546      -18.3166      -18.3176
  0.557      -18.3434      -18.3444
  0.568      -18.3696      -18.3706
  0.579      -18.3951      -18.3961
  0.579      -18.3951      -18.3961
  0.602      -18.2973      -18.2983
  0.624      -18.1929      -18.1939
  0.646      -18.0859      -18.0869
  0.669      -17.9765      -17.9775
  0.691      -17.8647      -17.8656
  0.713      -17.7505      -17.7514
  0.736      -17.8207      -17.8219
  0.758      -17.9257      -17.9269
  0.780      -18.0282      -18.0294
  0.803      -18.1282      -18.1294
  0.825      -18.2257      -18.2269
  0.847      -18.3205      -18.3217
  0.870      -18.4125      -18.4137
  0.892      -18.5017      -18.5028
  0.914      -18.5876      -18.5888
  0.937      -18.6697      -18.6707
  0.959      -18.7457      -18.7467
  0.981      -18.8082      -18.8090
  1.004      -18.8342      -18.8347
#Band-index   10
  1.004      -18.8075      -18.8080
  0.981      -18.7507      -18.7512
  0.959      -18.6741      -18.6747
  0.937      -18.5930      -18.5936
  0.914      -18.5086      -18.5093
  0.892      -18.4214      -18.4220
  0.870      -18.3314      -18.3320
  0.847      -18.2388      -18.2394
  0.825      -18.1436      -18.1442
  0.803      -18.0459      -18.0465
  0.780      -17.9457      -17.9464
  0.758      -17.8431      -17.8437
  0.736      -17.7380      -17.7386
  0.713      -17.7132      -17.7144
  0.691      -17.6034      -17.6046
  0.669      -17.4913      -17.4925
  0.646      -17.3768      -17.3780
  0.624      -17.2601      -17.2613
  0.602      -17.1414      -17.1426
  0.579      -17.0264      -17.0277
  0.579      -17.0264      -17.0277
  0.568      -17.0562      -17.0576
  0.557      -17.0959      -17.0969
  0.546      -17.1395      -17.1405
  0.535      -17.1840      -17.1849
  0.524      -17.2286      -17.2296
  0.513      -17.2732      -17.2741
  0.501      -17.3174      -17.3184
  0.490      -17.3613      -17.3623
  0.479      -17.4047      -17.4057
  0.468      -17.4476      -17.4486
  0.457      -17.4900      -17.4909
  0.446      -17.5318      -17.5328
  0.434      -17.5731      -17.5740
  0.423      -17.6137      -17.6147
  0.412      -17.6538      -17.6547
  0.401      -17.6932      -17.6941
  0.390      -17.7319      -17.7328
  0.379      -17.7695      -17.7704
  0.367      -17.7986      -17.7995
  0.367      -17.7986      -17.7995
  0.348      -17.7385      -17.7396
  0.329      -17.6608      -17.6619
  0.309      -17.5813      -17.5823
  0.290      -17.5185      -17.5194
  0.271      -17.6211      -17.6219
  0.251      -17.7219      -17.7227
  0.232      -17.8209      -17.8217
  0.213      -17.9180      -17.9189
  0.193      -18.0133      -18.0141
  0.174      -18.1065      -18.1073
  0.155      -18.1978      -18.1986
  0.135      -18.2869      -18.2877
  0.116      -18.3737      -18.3745
  0.097      -18.4581      -18.4589
  0.077      -18.5398      -18.5405
  0.058      -18.6182      -18.6188
  0.039      -18.6922      -18.6928
  0.019      -18.7600      -18.7605
  0.000      -18.8075      -18.8080
#Band-index   11
  0.000      -16.0915      -16.0927
  0.019      -16.1822      -16.1833
  0.039      -16.2861      -16.2871
  0.058      -16.3889      -16.3900
  0.077      -16.4904      -16.4914
  0.097      -16.5904      -16.5914
  0.116      -16.6888      -16.6899
  0.135      -16.7857      -16.7867
  0.155      -16.8809      -16.8820
  0.174      -16.9745      -16.9755
  0.193      -17.0664      -17.0674
  0.213      -17.1566      -17.1576
  0.232      -17.2450      -17.2461
  0.251      -17.3317      -17.3328
  0.271      -17.4167      -17.4177
  0.290      -17.4998      -17.5008
  0.309      -17.5609      -17.5617
  0.329      -17.6402      -17.6411
  0.348      -17.7177      -17.7186
  0.367      -17.7885      -17.7894
  0.367      -17.7885      -17.7894
  0.379      -17.7604      -17.7613
  0.390      -17.7229      -17.7239
  0.401      -17.6843      -17.6853
  0.412      -17.6450      -17.6460
  0.423      -17.6050      -17.6060
  0.434      -17.5644      -17.5654
  0.446      -17.5232      -17.5242
  0.457      -17.4815      -17.4825
  0.468      -17.4392      -17.4402
  0.479      -17.3964      -17.3974
  0.490      -17.3531      -17.3542
  0.501      -17.3095      -17.3105
  0.513      -17.2655      -17.2666
  0.524      -17.2214      -17.2225
  0.535      -17.1775      -17.1786
  0.546      -17.1343      -17.1355
  0.557      -17.0931      -17.0944
  0.568      -17.0545      -17.0556
  0.579      -17.0263      -17.0277
  0.579      -17.0263      -17.0277
  0.602      -17.0596      -17.0603
  0.624      -17.1776      -17.1782
  0.646      -17.2941      -17.2948
  0.669      -17.4085      -17.4092
  0.691      -17.5207      -17.5213
  0.713      -17.6305      -17.6311
  0.736      -17.6339      -17.6348
  0.758      -17.5150      -17.5159
  0.780      -17.3938      -17.3948
  0.803      -17.2704      -17.2713
  0.825      -17.1448      -17.1457
  0.847      -17.0170      -17.0179
  0.870      -16.8871      -16.8881
  0.892      -16.7552      -16.7562
  0.914      -16.6213      -16.6223
  0.937      -16.4857      -16.4866
  0.959      -16.3484      -16.3494
  0.981      -16.2104      -16.2114
  1.004      -16.0915      -16.0927
#Band-index   12
  1.004      -16.0915      -16.0927
  0.981      -16.1498      -16.1509
  0.959      -16.2169      -16.2179
  0.937      -16.2820      -16.2831
  0.914      -16.3449      -16.3460
  0.892      -16.4055      -16.4066
  0.870      -16.4637      -16.4648
  0.847      -16.5195      -16.5206
  0.825      -16.5729      -16.5740
  0.803      -16.6238      -16.6249
  0.780      -16.6723      -16.6734
  0.758      -16.7184      -16.7195
  0.736      -16.7621      -16.7632
  0.713      -16.8034      -16.8045
  0.691      -16.8423      -16.8435
  0.669      -16.8791      -16.8802
  0.646      -16.9138      -16.9150
  0.624      -16.9472      -16.9484
  0.602      -16.9807      -16.9820
  0.579      -17.0107      -17.0116
  0.579      -17.0107      -17.0116
  0.568      -16.9705      -16.9712
  0.557      -16.9924      -16.9932
  0.546      -17.0091      -17.0099
  0.535      -17.0227      -17.0236
  0.524      -17.0343      -17.0352
  0.513      -17.0446      -17.0455
  0.501      -17.0537      -17.0546
  0.490      -17.0619      -17.0629
  0.479      -17.0693      -17.0703
  0.468      -17.0759      -17.0768
  0.457      -17.0817      -17.0827
  0.446      -17.0868      -17.0878
  0.434      -17.0912      -17.0922
  0.423      -17.0950      -17.0960
  0.412      -17.0980      -17.0990
  0.401      -17.1004      -17.1013
  0.390      -17.1020      -17.1030
  0.379      -17.1030      -17.1040
  0.367      -17.1034      -17.1044
  0.367      -17.1034      -17.1044
  0.348      -17.2007      -17.2016
  0.329      -17.3081      -17.3090
  0.309      -17.4141      -17.4149
  0.290      -17.4797      -17.4806
  0.271      -17.3967      -17.3976
  0.251      -17.3119      -17.3128
  0.232      -17.2254      -17.2263
  0.213      -17.1371      -17.1380
  0.193      -17.0471      -17.0480
  0.174      -16.9554      -16.9563
  0.155      -16.8620      -16.8629
  0.135      -16.7670      -16.7678
  0.116      -16.6703      -16.6712
  0.097      -16.5721      -16.5730
  0.077      -16.4724      -16.4733
  0.058      -16.3714      -16.3722
  0.039      -16.2692      -16.2701
  0.019      -16.1673      -16.1683
  0.000      -16.0915      -16.0927
#Band-index   13
  0.000      -16.0658      -16.0668
  0.019      -16.0679      -16.0689
  0.039      -16.0654      -16.0663
  0.058      -16.0609      -16.0618
  0.077      -16.0545      -16.0555
  0.097      -16.0464      -16.0473
  0.116      -16.0364      -16.0373
  0.135      -16.0246      -16.0256
  0.155      -16.0111      -16.0121
  0.174      -15.9959      -15.9968
  0.193      -16.0454      -16.0463
  0.213      -16.1652      -16.1661
  0.232      -16.2847      -16.2856
  0.251      -16.4033      -16.4042
  0.271      -16.5210      -16.5219
  0.290      -16.6375      -16.6384
  0.309      -16.7528      -16.7537
  0.329      -16.8666      -16.8675
  0.348      -16.9788      -16.9796
  0.367      -17.0776      -17.0784
  0.367      -17.0776      -17.0784
  0.379      -17.0773      -17.0780
  0.390      -17.0763      -17.0770
  0.401      -17.0746      -17.0754
  0.412      -17.0723      -17.0730
  0.423      -17.0693      -17.0700
  0.434      -17.0656      -17.0663
  0.446      -17.0612      -17.0619
  0.457      -17.0561      -17.0569
  0.468      -17.0504      -17.0511
  0.479      -17.0439      -17.0446
  0.490      -17.0366      -17.0374
  0.501      -17.0286      -17.0294
  0.513      -17.0198      -17.0205
  0.524      -17.0100      -17.0107
  0.535      -16.9992      -16.9999
  0.546      -16.9871      -16.9877
  0.557      -16.9733      -16.9740
  0.568      -16.9660      -16.9670
  0.579      -16.9455      -16.9462
  0.579      -16.9455      -16.9462
  0.602      -16.9614      -16.9624
  0.624      -16.9234      -16.9244
  0.646      -16.8888      -16.8897
  0.669      -16.8535      -16.8544
  0.691      -16.8165      -16.8174
  0.713      -16.7774      -16.7783
  0.736      -16.7360      -16.7369
  0.758      -16.6923      -16.6931
  0.780      -16.6461      -16.6469
  0.803      -16.5975      -16.5983
  0.825      -16.5465      -16.5473
  0.847      -16.4931      -16.4939
  0.870      -16.4372      -16.4380
  0.892      -16.3790      -16.3798
  0.914      -16.3183      -16.3191
  0.937      -16.2553      -16.2561
  0.959      -16.1899      -16.1907
  0.981      -16.1224      -16.1232
  1.004      -16.0658      -16.0668
#Band-index   14
  1.004      -16.0658      -16.0668
  0.981      -16.0053      -16.0064
  0.959      -15.9316      -15.9327
  0.937      -15.8554      -15.8564
  0.914      -15.7771      -15.7782
  0.892      -15.6971      -15.6982
  0.870      -15.6182      -15.6193
  0.847      -15.6780      -15.6789
  0.825      -15.7906      -15.7915
  0.803      -15.9045      -15.9053
  0.780      -16.0182      -16.0191
  0.758      -16.1312      -16.1320
  0.736      -16.2429      -16.2438
  0.713      -16.3531      -16.3539
  0.691      -16.4614      -16.4622
  0.669      -16.5675      -16.5683
  0.646      -16.6707      -16.6715
  0.624      -16.7700      -16.7708
  0.602      -16.8612      -16.8618
  0.579      -16.9303      -16.9309
  0.579      -16.9303      -16.9309
  0.568      -16.9460      -16.9468
  0.557      -16.8947      -16.8958
  0.546      -16.8330      -16.8342
  0.535      -16.7703      -16.7715
  0.524      -16.7071      -16.7083
  0.513      -16.6433      -16.6445
  0.501      -16.5790      -16.5802
  0.490      -16.5142      -16.5154
  0.479      -16.4491      -16.4503
