 32000 32.000000 -2.932140 95.054600 11.003700   -2.434710 92.248300 10.850100   
 32250 32.250000 -2.552440 94.832100 11.059900   -1.942290 92.150800 10.824200   
 32500 32.500000 -2.532390 95.276800 10.860000   -2.089350 92.527800 10.957900   
 32750 32.750000 -2.147850 95.126400 11.020800   -1.741640 92.347100 10.697300   
 33000 33.000000 -2.005740 95.768800 11.525100   -1.398960 92.833900 11.378700   
 33250 33.250000 -2.447870 95.828500 11.182100   -2.066830 93.260300 10.667400   
 33500 33.500000 -2.289640 95.806000 10.570000   -1.807040 92.810800 10.458600   
 33750 33.750000 -2.273620 96.536900 10.865500   -1.701070 93.313000 10.506100   
 34000 34.000000 -1.564210 96.501200 11.577500   -1.749720 93.365800 11.308200   
 34250 34.250000 -1.674960 96.467500 11.072300   -1.594240 93.736000 10.854800   
 34500 34.500000 -1.821480 96.300200 11.265000   -1.299100 93.449200 10.982000   
 34750 34.750000 -2.060190 96.657200 11.252100   -1.877840 93.880900 10.904000   
 35000 35.000000 -2.066380 96.574500 10.877900   -2.012930 93.732900 10.661200   
 35250 35.250000 -2.174630 96.730400 11.131600   -1.788770 93.527000 10.941100   
 35500 35.500000 -2.281030 96.201100 10.997600   -2.170150 93.203200 11.413600   
 35750 35.750000 -2.494660 96.242900 11.395900   -2.114180 93.490900 11.008900   
 36000 36.000000 -2.477810 96.090000 11.345800   -1.840490 93.171300 10.537800   
 36250 36.250000 -2.750290 95.912900 11.303300   -1.887970 93.131500 11.219800   
 36500 36.500000 -2.347930 96.051400 11.096500   -1.905570 93.332500 10.993300   
 36750 36.750000 -1.938020 95.980600 10.756900   -1.381080 93.204100 11.238000   
 37000 37.000000 -1.869360 95.887100 10.946600   -1.061050 93.112500 11.198800   
 37250 37.250000 -2.236310 95.940100 11.366900   -1.351900 93.355900 11.224500   
 37500 37.500000 -2.201650 95.940400 10.911800   -1.985970 93.231100 10.982600   
 37750 37.750000 -2.335310 96.058000 10.564400   -1.708510 93.322100 10.687400   
