5432
Atoms. Timestep: 0
CA 51.1 12.1244 3.40076
CA 52.5 12.1244 3.40114
CA 53.2 13.3369 3.4007
CA 54.5999 13.3369 3.4015
CA 55.3 12.1244 3.40198
CA 56.7001 12.1245 3.40084
CA 57.4001 13.3368 3.40066
CA 58.8 13.3368 3.39985
CA 59.5 12.1245 3.39874
CA 60.9 12.1246 3.39932
CA 61.6 13.3368 3.40013
CA 1.70149e-05 15.7616 3.40027
CA 0.70001 14.5492 3.40003
CA 2.0999 14.5493 3.40004
CA 2.79998 15.7617 3.40142
CA 4.19991 15.7618 3.40179
CA 4.90008 14.5491 3.4016
CA 6.29993 14.5493 3.40229
CA 6.99992 15.7616 3.40128
CA 8.39988 15.7617 3.40087
CA 9.09996 14.5493 3.40077
CA 10.5 14.5493 3.39975
CA 11.2001 15.7617 3.39887
CA 12.6001 15.7617 3.39934
CA 13.3 14.5493 3.40071
CA 14.6999 14.5492 3.40054
CA 15.3999 15.7616 3.40021
CA 16.8001 15.7617 3.39848
CA 17.4999 14.5493 3.39746
CA 18.8999 14.5493 3.39872
CA 19.6001 15.7617 3.39927
CA 20.9999 15.7617 3.40051
CA 21.7 14.5492 3.40072
CA 23.1 14.5492 3.39954
CA 23.7999 15.7616 3.39834
CA 25.1999 15.7617 3.39824
CA 25.9 14.5492 3.39896
CA 27.3 14.5492 3.39935
CA 27.9999 15.7617 3.40027
CA 29.4 15.7619 3.40031
CA 30.1 14.5493 3.39886
CA 31.5 14.5493 3.39886
CA 32.2001 15.7618 3.39912
CA 33.6001 15.7617 3.39918
CA 34.3001 14.5493 3.4009
CA 35.7002 14.5493 3.40234
CA 36.4002 15.7617 3.40126
CA 37.8001 15.7618 3.40109
CA 38.5002 14.5493 3.4008
CA 39.9001 14.5491 3.4002
CA 40.6001 15.7616 3.40043
CA 42.0001 15.7616 3.39982
CA 42.7 14.5492 3.39933
CA 44.1001 14.5493 3.39948
CA 44.8 15.7617 3.39939
CA 46.2001 15.7617 3.39966
CA 46.8999 14.5492 3.39987
CA 48.3 14.5491 3.39973
CA 49.0001 15.7615 3.39877
CA 50.4001 15.7617 3.39782
CA 51.1 14.5491 3.3986
CA 52.5 14.5493 3.39859
CA 53.2001 15.7616 3.39792
CA 54.5999 15.7617 3.39949
CA 55.3 14.5493 3.40073
CA 56.7 14.5493 3.40105
CA 57.4 15.7615 3.40136
CA 58.7999 15.7617 3.40137
CA 59.5 14.5491 3.40091
CA 60.9 14.5491 3.40068
CA 61.6001 15.7615 3.4005
CA 62.9999 18.1865 3.39838
CA 0.700041 16.9741 3.40014
CA 2.10002 16.974 3.4014
CA 2.80001 18.1864 3.40063
CA 4.19996 18.1865 3.39943
CA 4.90005 16.9741 3.40041
CA 6.29996 16.9741 3.39898
CA 7.00003 18.1864 3.39614
CA 8.40001 18.1865 3.39839
CA 9.10006 16.9741 3.39973
CA 10.5 16.9742 3.39974
CA 11.2 18.1865 3.40089
CA 12.6001 18.1866 3.39987
CA 13.3001 16.974 3.39955
CA 14.6999 16.9742 3.40032
CA 15.4 18.1865 3.40021
CA 16.7999 18.1866 3.39979
CA 17.5 16.9741 3.39884
CA 18.9 16.9743 3.39836
CA 19.6001 18.1866 3.39822
CA 21 18.1866 3.39973
CA 21.7 16.974 3.40014
CA 23.0999 16.974 3.39911
CA 23.8001 18.1864 3.39975
CA 25.2 18.1866 3.39936
CA 25.9001 16.974 3.39897
CA 27.2999 16.9742 3.40047
CA 28 18.1865 3.40154
CA 29.4 18.1866 3.40256
CA 30.1 16.9741 3.40164
CA 31.5 16.9742 3.40074
CA 32.2001 18.1866 3.40136
CA 33.6001 18.1866 3.39982
CA 34.3001 16.9741 3.39904
CA 35.7002 16.9741 3.3996
CA 36.4002 18.1865 3.39906
CA 37.8001 18.1865 3.39982
CA 38.5002 16.974 3.40086
CA 39.9 16.9742 3.40082
CA 40.6 18.1865 3.40081
CA 42.0001 18.1865 3.4003
CA 42.7001 16.974 3.39966
CA 44.1001 16.9741 3.39956
CA 44.7999 18.1865 3.39989
CA 46.2 18.1865 3.40036
CA 46.9 16.9741 3.39975
CA 48.3 16.9742 3.39948
CA 49.0001 18.1866 3.39982
CA 50.4 18.1865 3.39892
CA 51.1 16.9741 3.39751
CA 52.5 16.974 3.39732
CA 53.2 18.1864 3.39858
CA 54.6 18.1865 3.39959
CA 55.3 16.9741 3.39988
CA 56.7 16.9741 3.40116
CA 57.3999 18.1864 3.40123
CA 58.7999 18.1864 3.40046
CA 59.4999 16.974 3.40123
CA 60.9 16.9742 3.40011
CA 61.6 18.1865 3.39803
CA 63 20.6113 3.39708
CA 0.700064 19.3988 3.39784
CA 2.10002 19.3989 3.39901
CA 2.8001 20.6113 3.39954
CA 4.2 20.6113 3.39943
CA 4.9 19.3988 3.3977
CA 6.30006 19.3989 3.39634
CA 7.00014 20.6112 3.39742
CA 8.40004 20.6112 3.39888
CA 9.10009 19.3989 3.40014
CA 10.5 19.3989 3.40278
CA 11.2001 20.6113 3.4042
CA 12.6 20.6114 3.40328
CA 13.3001 19.3989 3.40048
CA 14.7001 19.3989 3.39956
CA 15.4 20.6113 3.39956
CA 16.8 20.6114 3.39979
CA 17.5 19.399 3.39912
CA 18.9 19.3991 3.39819
CA 19.6 20.6114 3.3991
CA 21 20.6116 3.39962
CA 21.7 19.399 3.40031
CA 23.0999 19.3991 3.40121
CA 23.8001 20.6114 3.40161
CA 25.2 20.6115 3.40085
CA 25.9 19.3989 3.40013
CA 27.2999 19.3991 3.4005
CA 28 20.6114 3.40028
CA 29.4 20.6115 3.40111
CA 30.1001 19.399 3.40242
CA 31.5001 19.399 3.40211
